neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
1,135,2,120,1,29,312
2,81,1,120,1,1,1
2,215,2,90,3,10,77
2,14,1,160,1,9,6
2,29,2,80,1,34,12
2,215,1,190,2,11,331
2,92,1,154,1,7,213
2,215,2,85,2,3,40
3,65,1,175,6,23,232
3,179,1,240,2,0,90
3,128,1,180,1,7,249
3,179,2,100,1,0,325
4,221,2,45,2,36,52
3,95,2,67,2,28,132
3,62,1,275,2,27,29
2,29,2,45,1,0,8
3,104,2,90,3,2,282
4,114,1,254,3,2,24
1,156,1,140,4,0,103
3,199,1,175,2,15,90
4,161,2,120,3,0,83
4,12,1,115,1,6,179
3,210,1,180,3,15,166
2,61,1,85,2,23,149
2,52,2,55,2,34,341
5,195,2,60,1,0,88
5,3,2,65,1,1,362
4,167,1,115,3,14,19
2,217,1,100,1,0,11
2,191,2,39,2,6,224
3,62,2,78,1,0,13
2,42,2,75,4,14,10
3,131,2,67,6,22,90
2,52,1,150,3,27,288
2,61,1,200,1,0,87
2,27,1,100,4,29,281
4,124,2,50,1,19,165
2,217,1,105,1,15,269
2,18,2,79,2,0,89
4,5,2,58,1,2,249
3,35,2,84,1,13,23
2,14,1,125,2,1,342
3,192,2,100,1,1,299
3,96,1,272,2,7,277
4,164,2,66,1,24,327
3,95,2,99,2,1,359
3,65,1,125,3,2,18
2,215,1,145,3,7,270
4,5,1,125,5,27,2
3,87,3,69,2,9,62
2,14,2,59,1,24,32
4,69,2,70,1,8,302
4,78,2,50,1,16,1
2,14,2,75,6,1,88
3,95,2,89,2,10,127
4,182,3,30,4,1,365
4,5,1,140,3,5,254
4,51,3,24,1,3,332
2,183,2,70,1,3,363
3,104,2,65,1,25,86
4,100,2,49,1,3,329
1,154,2,55,2,0,89
4,182,1,72,2,26,317
4,164,2,55,1,14,286
4,221,2,50,2,14,308
3,96,1,175,4,19,343
5,187,1,99,3,4,326
2,31,1,125,5,6,90
3,202,1,250,6,7,100
2,53,2,68,2,10,365
2,29,2,70,6,6,11
3,202,3,75,1,1,365
3,76,1,221,5,7,1
2,215,2,60,2,26,21
4,184,2,60,1,2,179
4,57,2,65,2,21,89
4,4,2,100,2,10,67
2,215,1,90,3,17,77
3,95,1,149,3,28,329
2,159,1,150,5,24,363
2,215,1,199,3,6,12
4,55,2,55,2,0,35
2,215,1,172,2,20,7
3,95,2,85,1,22,232
3,131,2,210,1,1,86
3,128,1,149,1,15,121
2,64,1,85,3,33,356
2,86,2,51,1,0,333
3,128,3,99,1,1,365
3,96,2,146,1,0,314
4,72,2,55,1,27,177
2,215,1,150,3,0,12
3,65,3,69,6,31,196
3,65,2,120,3,25,89
3,74,1,245,2,6,272
4,23,2,30,1,24,6
2,31,1,135,2,16,358
3,95,2,69,1,1,365
4,118,2,50,1,4,107
4,80,2,78,1,15,178
1,119,2,60,3,8,363
4,45,1,69,1,19,212
3,36,2,100,3,1,88
2,29,2,68,3,16,139
1,174,2,40,4,35,171
3,95,2,70,3,17,230
3,95,2,70,1,16,32
4,221,1,99,3,9,236
3,65,1,240,2,2,53
3,120,1,255,2,13,239
2,215,1,200,2,1,27
2,215,1,205,2,7,4
2,215,2,95,2,14,32
2,215,2,80,2,3,84
3,35,2,65,3,12,30
2,92,2,70,4,17,159
2,14,1,125,3,9,24
3,62,2,70,2,25,101
2,14,1,150,2,3,251
4,169,1,108,4,20,329
3,203,2,90,2,9,181
3,7,2,100,1,0,361
2,64,1,169,3,22,189
2,61,2,49,2,18,90
2,50,3,25,5,1,129
3,35,2,150,5,0,79
2,29,2,62,2,7,125
3,95,1,145,4,20,310
2,14,2,95,2,0,47
2,42,2,100,2,7,310
3,95,1,110,4,26,14
2,215,1,250,1,7,170
2,29,1,200,3,1,46
3,207,2,52,1,0,33
3,35,1,96,1,32,2
3,202,2,75,3,11,62
3,95,1,75,5,8,9
3,87,1,159,2,13,10
2,152,1,276,3,19,78
2,61,2,60,2,9,361
2,14,1,151,1,1,179
2,215,1,200,2,7,17
3,202,1,200,2,0,47
2,75,2,75,3,19,78
3,146,1,140,1,9,11
2,75,2,46,3,0,9
2,152,1,145,5,0,38
2,14,2,45,2,1,154
2,31,2,65,2,13,270
2,29,2,50,1,31,179
3,202,1,179,3,4,138
2,215,1,159,2,13,317
2,215,2,128,3,22,305
3,65,1,250,2,4,183
2,159,2,69,4,16,300
2,109,2,42,1,4,88
3,210,1,140,2,34,159
3,74,2,264,2,2,348
4,118,2,120,2,9,89
2,215,2,73,6,6,310
3,120,2,69,1,10,187
3,62,2,90,1,18,238
2,191,1,95,1,9,106
3,95,2,60,2,15,95
2,29,2,58,3,6,94
4,169,1,125,1,0,67
3,202,2,80,3,8,50
3,207,2,110,3,0,89
2,14,2,65,1,12,179
4,5,2,60,1,26,173
3,95,2,64,2,8,98
4,124,2,40,1,0,82
1,1,2,35,2,21,252
2,52,2,45,2,4,10
2,215,1,210,2,0,3
2,52,2,115,1,0,58
2,215,1,189,4,33,1
3,96,3,95,1,3,23
3,96,2,99,4,6,140
4,5,2,50,2,3,330
3,202,1,210,2,2,138
2,29,2,68,1,9,55
2,14,1,170,1,5,237
2,42,2,44,6,6,1
4,118,2,100,3,5,42
1,135,1,100,5,13,14
4,167,1,120,2,3,40
2,191,2,45,4,0,179
1,1,1,55,3,26,349
4,5,2,120,5,1,351
4,221,2,50,1,3,65
4,5,1,200,2,23,265
4,55,2,60,2,22,360
2,26,2,120,1,18,75
3,96,1,140,3,25,157
1,153,2,50,2,10,283
2,92,1,140,3,1,36
2,29,2,50,1,26,74
4,5,2,70,1,14,313
3,128,3,65,3,1,353
2,92,2,150,4,0,267
3,120,2,120,1,3,11
3,95,1,102,1,17,75
1,214,2,65,5,17,123
2,14,2,50,2,0,220
3,202,1,199,2,0,364
3,170,1,145,1,0,30
3,96,2,110,5,3,331
2,215,1,90,2,5,157
3,202,1,150,4,20,82
2,14,3,35,1,9,88
4,165,3,60,1,4,365
3,203,1,100,4,2,83
3,35,1,213,1,1,336
3,202,2,79,1,8,31
4,72,2,50,1,18,71
3,65,1,150,1,8,15
4,51,2,40,2,19,24
2,14,1,97,1,2,92
3,95,1,88,2,24,39
2,121,2,125,2,21,311
2,29,1,89,1,8,88
2,215,2,110,1,3,173
3,207,1,195,5,0,270
5,3,2,32,4,26,315
2,14,1,113,5,8,101
2,42,1,235,6,5,3
3,95,2,180,3,18,362
2,215,1,140,2,4,213
3,96,2,150,3,36,49
2,191,2,40,2,20,349
2,215,2,42,3,8,35
2,14,2,53,3,35,113
4,118,1,197,2,24,232
3,202,1,130,5,6,7
2,61,1,86,1,2,360
2,29,2,90,5,16,37
2,64,2,125,1,12,89
3,113,1,150,2,21,191
4,105,2,37,2,32,126
3,95,2,75,1,2,280
1,156,3,28,1,10,351
2,92,2,119,1,0,179
3,128,1,195,1,2,351
2,29,2,70,3,2,249
3,62,2,72,1,2,365
2,14,3,38,1,12,360
2,14,2,75,4,0,38
3,7,2,69,2,3,2
2,14,2,60,1,14,20
2,215,1,135,2,29,82
3,202,1,170,2,1,88
4,4,1,190,3,21,327
2,14,2,65,3,1,31
2,215,1,145,5,1,17
4,55,2,38,1,14,24
4,55,1,100,3,2,200
3,95,1,90,3,32,1
4,118,1,75,1,0,42
3,35,1,150,5,0,4
3,95,1,179,2,3,187
2,29,2,60,3,2,165
2,8,2,79,1,0,179
5,3,2,34,4,8,290
2,53,2,100,1,9,330
2,129,1,85,2,8,27
4,221,2,75,3,9,7
2,159,2,125,1,0,15
2,14,3,50,3,15,365
2,52,1,95,4,5,1
3,199,2,65,3,8,123
3,207,2,75,2,4,58
3,192,1,212,1,5,272
2,52,1,129,3,24,74
3,202,2,105,3,29,75
2,215,2,75,3,3,13
2,61,1,150,1,6,44
2,215,1,207,2,28,271
3,74,3,105,6,0,87
3,120,2,75,1,3,364
2,20,1,275,1,7,129
2,215,2,90,2,0,211
2,61,2,55,1,0,316
2,52,1,275,4,6,96
2,32,2,200,5,0,342
2,14,2,68,1,5,16
5,3,1,150,2,12,85
3,146,1,209,1,23,365
3,192,2,100,1,1,320
1,79,3,22,1,1,11
2,215,2,139,2,6,36
2,52,1,200,4,6,4
2,61,2,60,3,3,90
2,163,1,99,1,29,273
3,113,1,200,2,22,11
3,128,1,220,3,0,28
3,96,3,65,1,0,365
2,75,2,60,2,7,155
2,163,1,170,2,8,288
2,27,2,70,2,5,46
3,128,2,95,3,1,5
2,92,1,175,2,3,178
4,165,2,56,1,12,179
3,96,2,249,1,6,87
2,160,3,30,2,5,352
4,118,2,105,4,10,70
2,29,1,125,2,3,342
2,14,2,41,2,5,74
2,14,2,70,2,6,365
2,191,1,250,3,0,85
2,29,2,55,3,7,79
2,29,2,59,5,26,325
3,62,1,180,3,3,308
3,35,2,90,3,6,11
4,190,2,69,3,21,177
3,96,2,65,1,2,361
4,221,2,86,2,4,365
2,14,1,110,3,3,227
4,4,1,225,1,6,352
3,202,1,166,2,8,3
2,14,1,165,5,25,127
1,49,2,62,1,8,175
2,75,2,52,1,0,70
4,221,2,90,2,1,365
4,165,2,75,2,1,48
3,203,2,82,2,26,288
3,62,1,97,1,16,11
3,95,1,115,6,3,279
3,74,1,210,1,8,54
3,128,1,100,1,0,365
2,42,1,150,5,7,14
4,5,1,120,3,0,105
3,202,3,66,1,1,70
4,5,2,65,1,5,328
2,160,2,87,1,11,361
2,29,2,55,1,23,28
4,78,1,229,1,22,265
2,90,1,76,2,26,323
2,215,3,125,1,1,365
4,165,2,67,2,8,337
3,36,1,155,5,0,165
3,95,1,150,1,0,14
3,65,2,68,1,31,94
2,75,2,148,1,11,90
3,95,2,49,2,2,1
2,92,2,58,3,11,14
3,96,2,180,1,0,83
2,52,1,145,1,0,66
4,118,1,185,2,2,41
4,55,2,85,3,13,208
1,214,2,50,1,19,311
2,215,2,40,1,9,22
4,190,1,261,1,14,240
2,14,3,200,1,0,365
2,42,1,143,2,22,81
2,52,2,45,2,12,32
2,215,1,155,1,2,88
2,129,2,20,3,4,18
3,95,3,80,5,0,363
2,14,1,260,2,1,36
4,60,2,65,1,0,36
3,202,2,93,3,32,28
3,95,1,85,2,23,16
2,75,2,60,2,17,9
3,35,1,180,4,13,4
2,191,1,139,3,32,20
3,95,1,125,1,31,188
2,52,1,105,2,6,286
3,62,2,169,1,0,84
2,160,1,167,3,4,326
4,118,2,149,2,0,23
2,29,2,40,1,1,5
4,118,2,89,2,0,364
3,120,1,175,2,16,2
5,47,2,32,4,23,312
2,14,2,55,1,15,15
3,65,2,140,2,5,149
2,14,2,87,2,4,330
2,14,2,75,1,29,84
2,14,3,36,1,18,365
2,14,1,150,2,4,66
2,176,2,39,3,22,360
3,62,3,60,2,28,120
2,191,1,72,3,1,21
3,120,1,240,3,10,8
2,14,2,49,2,12,305
3,95,1,180,1,24,85
3,207,1,85,1,28,27
2,215,2,155,3,1,365
2,159,2,75,2,7,17
2,14,2,49,2,19,360
2,29,2,60,2,13,48
2,14,2,150,2,6,33
2,29,2,75,4,4,364
2,215,2,60,2,16,116
4,5,1,225,2,2,277
4,105,2,125,1,11,301
4,186,2,59,1,0,365
3,179,2,250,1,10,364
2,14,1,150,2,21,48
2,215,1,104,1,27,84
3,138,1,243,2,6,153
3,96,1,75,1,4,98
2,14,2,87,2,4,337
4,190,2,89,1,0,365
2,61,2,119,2,23,311
2,92,1,189,3,7,74
4,221,1,125,1,33,95
3,120,2,81,2,26,61
2,29,2,75,1,0,83
4,105,2,77,1,1,355
2,29,2,65,2,29,356
3,96,2,199,1,25,324
3,95,2,60,1,2,33
2,14,1,99,1,21,87
3,62,2,59,1,1,42
3,202,1,243,1,26,149
2,14,2,90,2,1,343
4,51,3,28,1,0,357
2,52,1,120,3,12,15
2,215,1,100,2,1,296
3,128,1,190,1,7,156
2,75,2,60,1,12,90
3,202,2,100,3,10,14
4,78,2,60,2,21,51
4,167,2,65,3,1,125
4,60,2,80,1,4,78
3,95,1,118,2,3,17
3,116,1,190,5,2,300
3,120,1,250,1,1,58
2,14,1,90,1,5,6
2,14,2,45,2,27,339
2,14,2,50,4,10,7
2,14,2,50,3,20,178
3,96,1,175,4,12,107
2,159,1,250,1,0,175
4,164,2,100,1,0,341
2,29,1,120,2,0,155
3,62,1,199,2,15,230
3,96,1,160,3,21,3
2,14,1,75,2,4,103
3,203,2,120,3,9,365
2,14,1,90,3,17,91
2,14,1,100,1,25,108
3,96,1,189,1,3,122
4,5,1,170,1,1,60
4,164,2,75,3,20,48
2,215,2,90,4,11,117
2,19,1,97,2,25,148
4,23,2,200,2,0,90
2,81,1,175,5,16,129
2,14,2,80,2,5,83
2,26,1,79,3,1,94
3,128,1,246,3,1,365
3,207,1,150,2,29,127
3,62,2,98,2,18,209
2,52,1,250,5,25,220
3,146,2,85,2,20,5
3,95,2,175,2,1,365
4,85,1,190,4,7,70
1,153,1,85,2,1,349
2,75,1,125,1,22,93
4,167,2,60,3,0,365
2,215,1,50,3,2,152
3,95,2,73,2,14,35
4,78,2,60,1,33,49
3,65,1,168,3,20,30
3,138,2,100,1,12,58
4,78,2,75,1,25,360
3,207,2,75,2,17,27
2,130,1,250,1,5,360
2,92,2,49,3,3,244
2,31,3,40,2,4,3
4,55,2,50,3,13,220
4,78,2,62,1,10,90
2,215,1,145,4,5,1
3,95,2,250,1,22,365
3,207,2,58,1,20,315
2,29,3,25,4,0,340
2,64,1,140,1,30,4
3,62,2,73,2,15,250
2,92,1,199,3,30,56
3,95,1,75,4,8,69
3,104,1,100,1,3,5
3,87,1,155,2,3,3
5,187,1,97,4,19,131
2,183,1,275,5,0,9
3,207,1,250,2,0,67
2,14,2,65,2,24,330
3,95,2,68,2,28,53
3,138,2,89,1,13,2
2,29,3,25,4,14,62
2,29,1,100,2,1,5
2,160,2,89,1,5,97
3,36,1,250,4,2,8
3,36,1,188,3,6,364
2,215,2,92,4,18,341
2,29,1,100,2,8,342
2,14,1,70,4,14,17
3,96,1,199,2,12,110
4,60,2,80,1,27,95
3,146,2,115,2,9,332
3,202,1,110,5,22,7
3,35,1,250,3,4,49
4,5,2,49,5,9,318
3,65,2,75,1,17,120
2,29,2,82,2,24,365
2,29,2,70,2,0,255
4,5,1,76,1,7,326
4,118,2,100,1,1,364
3,35,2,100,1,33,12
3,95,2,145,3,1,365
3,87,2,120,4,0,12
4,165,2,58,1,16,129
2,58,1,275,3,20,35
4,60,2,100,2,23,95
4,84,2,59,3,4,365
3,207,2,55,2,5,53
1,37,2,95,1,6,359
3,65,2,79,5,8,51
3,95,2,135,3,7,365
1,209,2,79,1,3,179
3,207,2,60,1,34,66
3,65,1,219,2,7,316
3,35,1,200,1,12,6
2,215,1,215,1,5,165
2,215,2,57,2,31,40
3,203,2,160,2,3,61
3,96,1,200,3,1,39
3,95,2,125,3,34,178
3,120,1,250,1,0,179
3,128,1,250,1,0,360
2,215,2,230,4,0,35
2,160,2,86,2,0,179
2,152,1,150,3,28,57
2,14,2,60,3,7,58
4,55,1,85,5,1,84
2,64,1,62,1,11,351
3,96,1,260,2,21,222
3,87,1,160,1,0,14
4,78,2,46,1,1,365
2,18,2,70,2,24,315
2,64,1,75,2,15,179
2,53,2,85,1,17,67
2,27,1,180,2,7,352
3,210,1,270,4,1,50
3,95,1,122,4,16,5
2,92,2,150,3,8,27
3,202,1,160,5,14,92
2,29,2,80,2,3,14
4,51,3,45,1,8,347
2,14,1,180,3,0,133
2,14,1,190,5,24,215
4,51,1,125,1,16,157
3,65,2,68,4,0,2
3,95,1,106,3,7,5
2,29,2,80,4,0,158
5,208,1,75,1,9,175
2,8,2,35,1,33,337
2,215,2,150,4,3,362
2,14,1,150,5,3,24
2,14,1,250,4,3,333
3,179,1,109,6,5,9
1,119,2,55,1,10,310
3,203,1,125,1,15,362
2,14,1,120,2,6,2
3,35,1,228,4,16,103
3,202,1,150,1,1,130
3,210,1,250,5,10,198
1,193,2,45,3,0,36
2,29,2,78,2,18,266
3,207,1,150,2,17,15
3,62,2,85,2,36,288
4,23,3,73,1,2,90
2,53,2,38,4,10,307
2,75,2,65,3,15,208
3,120,1,170,3,6,235
2,14,2,43,3,0,320
1,180,2,49,2,25,184
3,95,2,70,6,1,13
2,61,2,60,3,11,347
4,221,2,55,1,25,332
2,92,2,54,6,0,15
2,29,1,200,1,28,30
3,138,2,150,4,0,46
2,14,2,60,1,0,152
3,95,2,99,2,17,43
3,95,2,80,3,10,332
2,8,2,60,2,20,363
3,116,2,110,2,34,160
3,128,1,220,4,10,297
2,215,1,190,6,8,5
1,40,2,80,1,2,88
3,203,1,250,5,12,20
2,52,2,48,1,21,252
4,78,1,119,1,0,179
2,32,1,215,5,0,33
5,47,2,30,4,11,337
2,191,1,125,2,11,10
3,65,1,239,2,13,3
2,75,1,120,3,13,327
3,120,1,110,3,19,34
2,215,1,200,6,2,49
3,146,2,89,3,29,190
4,140,1,200,2,7,44
3,207,1,135,3,1,214
2,29,2,75,6,8,53
3,203,1,135,2,2,1
2,14,3,39,1,13,365
4,16,2,60,1,0,157
4,13,2,120,2,0,169
2,14,1,134,3,4,245
3,95,2,75,3,30,322
3,65,1,199,1,8,65
2,29,2,61,5,32,350
4,190,2,80,1,27,309
4,118,1,250,6,4,105
2,191,2,80,2,0,61
3,95,1,150,5,0,7
2,53,2,42,6,12,207
2,14,2,38,5,1,356
4,5,1,180,2,0,365
2,26,1,150,5,1,35
3,65,1,130,1,4,120
2,215,2,90,5,13,255
3,96,1,229,3,1,150
3,96,1,230,2,6,4
4,100,1,150,3,1,78
2,176,3,20,2,0,32
2,29,2,85,4,4,8
2,52,2,38,1,1,88
3,62,2,95,1,8,131
2,61,2,45,5,5,69
2,152,1,150,2,0,8
2,215,1,250,5,21,284
1,39,1,150,3,29,109
3,203,2,120,1,20,81
3,96,2,225,2,0,20
3,207,2,45,1,20,227
4,190,2,80,1,4,330
3,207,2,45,1,1,90
3,65,2,100,1,0,188
3,62,2,90,2,3,175
2,215,2,75,2,30,2
3,207,1,100,5,13,1
2,191,1,135,4,9,365
2,92,1,199,3,24,60
3,207,3,40,1,1,30
2,215,1,82,1,15,16
3,95,2,60,1,0,80
2,14,2,60,3,5,110
2,152,1,168,5,0,23
4,78,3,75,1,1,349
3,120,2,83,2,3,6
3,179,1,275,1,1,308
2,29,2,40,2,14,54
1,148,1,125,3,20,281
2,64,2,60,1,1,361
5,181,2,50,2,4,80
4,4,1,125,1,9,340
2,52,3,25,2,13,81
2,160,1,120,2,9,10
2,14,1,125,3,10,361
2,129,1,97,2,26,81
4,106,2,85,2,12,330
3,65,1,107,3,19,72
2,14,3,38,3,14,365
3,95,2,75,3,0,29
4,172,1,70,2,14,105
3,76,1,210,2,6,9
3,170,1,250,3,2,1
3,128,3,165,4,0,12
2,26,2,159,2,5,363
2,29,2,48,1,11,166
3,96,1,129,1,4,186
4,69,2,30,1,15,249
3,202,1,140,6,36,71
2,29,2,53,2,29,143
2,32,1,190,4,12,207
2,215,2,85,3,15,82
3,96,2,135,1,0,275
3,95,1,112,3,14,16
2,215,2,50,3,6,38
2,159,2,100,1,11,365
4,184,2,70,1,1,89
2,75,2,55,4,8,364
3,203,1,90,4,22,239
3,202,1,175,2,1,83
1,1,2,50,1,8,280
1,1,2,60,2,1,363
3,65,1,250,4,14,16
4,69,2,55,1,1,35
2,64,2,35,3,18,79
3,192,2,100,1,0,232
