neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,availability_365
1,132,2,75,1,3,365
3,35,1,195,5,21,17
3,96,2,125,3,0,173
4,184,2,90,1,1,365
2,29,2,60,2,0,74
3,202,1,160,1,18,180
2,42,1,200,3,1,357
3,207,2,119,2,12,124
3,95,2,65,2,2,114
2,29,2,65,2,26,349
3,113,2,110,5,2,6
4,4,2,75,2,8,67
2,215,2,73,5,1,249
2,14,2,118,1,20,285
2,160,2,99,2,5,364
2,44,2,142,3,8,10
4,69,2,50,2,2,365
3,95,2,86,3,34,359
2,18,2,78,1,21,30
2,42,1,250,2,30,274
4,5,2,90,3,0,78
4,5,2,60,2,35,204
4,78,2,60,1,13,125
3,96,1,199,3,4,200
2,42,1,145,3,16,96
3,210,1,247,2,21,173
2,29,2,90,3,0,176
2,14,2,50,4,0,9
2,14,2,55,2,20,353
3,95,1,77,5,19,1
3,203,1,150,6,2,69
4,13,1,151,2,33,309
3,95,1,80,6,2,31
4,5,2,55,3,0,43
4,165,2,83,2,16,42
2,159,1,200,3,29,50
2,14,1,103,2,5,211
3,95,1,132,2,18,123
2,215,2,120,1,16,85
2,53,2,115,3,3,82
3,179,2,64,3,1,86
3,120,1,129,2,0,15
4,165,2,32,2,10,342
4,78,2,49,1,14,121
3,207,2,50,3,1,14
3,203,1,135,1,0,93
3,74,1,230,2,2,319
2,29,2,55,2,16,2
3,96,2,209,1,20,53
3,128,2,100,6,4,191
2,14,2,75,1,2,138
4,9,3,32,2,6,169
3,202,1,175,2,3,310
2,29,1,120,2,15,61
2,215,2,150,3,32,365
2,53,2,62,2,1,179
2,31,1,120,4,31,296
2,14,1,150,2,8,6
2,86,2,119,1,20,354
3,62,2,95,1,35,15
4,165,2,40,3,7,313
3,95,1,178,2,2,52
1,174,2,60,1,20,343
3,179,1,230,2,27,101
2,191,1,155,3,26,67
2,8,2,99,2,1,169
4,164,2,100,1,0,83
2,52,1,76,1,25,287
2,215,1,200,1,1,320
3,95,1,120,5,1,34
3,203,2,60,1,0,7
4,182,3,30,4,0,365
2,215,2,44,6,4,5
3,35,1,175,3,6,5
1,79,2,55,3,0,86
3,145,1,245,3,14,198
3,65,2,69,6,30,43
2,215,1,196,1,0,95
2,29,2,70,2,29,121
3,138,1,95,1,7,54
2,215,1,230,3,1,16
2,14,2,67,3,16,307
2,52,2,85,3,8,179
3,96,2,181,2,0,362
3,207,2,45,3,6,4
1,48,2,38,5,6,188
2,52,2,65,1,13,83
3,93,1,260,5,13,167
2,215,2,99,1,15,12
2,75,2,50,1,2,342
4,85,2,40,1,0,149
3,202,1,125,2,8,1
3,35,1,100,5,6,8
2,42,2,60,1,0,9
3,76,2,135,1,17,365
1,79,3,130,1,0,365
2,58,1,170,2,21,8
2,52,2,50,2,25,179
3,131,2,86,6,34,90
2,92,1,136,2,13,3
4,106,2,45,4,12,291
2,29,2,51,1,4,71
2,215,2,70,3,12,188
2,31,1,160,2,0,349
2,14,2,95,1,36,79
2,53,2,65,3,22,89
2,92,1,250,2,4,322
1,112,1,95,2,0,47
3,203,1,146,3,28,158
2,14,2,55,1,18,65
4,5,1,250,3,13,76
2,14,2,50,1,12,39
1,119,3,85,1,0,77
4,164,1,69,5,5,4
3,95,2,110,2,26,280
3,96,2,225,3,2,30
2,29,2,36,2,1,302
2,215,2,46,4,6,7
3,96,3,69,1,17,212
2,42,1,195,2,2,44
3,202,1,100,2,0,3
1,17,2,95,2,4,325
1,79,2,65,2,6,77
2,52,2,100,2,0,364
2,215,1,245,4,0,156
2,61,2,35,1,10,83
2,14,2,85,2,11,314
3,95,2,125,2,0,125
2,52,1,81,4,19,94
2,29,1,200,2,2,32
2,217,2,63,2,22,48
4,105,1,135,6,2,195
2,29,2,55,2,1,157
2,14,1,150,5,12,9
3,113,2,94,1,23,55
3,95,2,60,1,6,83
2,14,1,150,3,26,93
3,203,1,220,2,24,207
2,215,1,225,2,21,88
3,128,1,175,2,11,88
3,95,2,69,3,7,172
3,207,2,52,5,11,310
3,207,2,72,6,5,361
2,109,2,67,1,29,143
4,106,2,65,1,0,163
3,96,1,259,4,25,255
2,77,1,75,1,8,149
2,215,1,160,2,34,272
3,65,2,65,5,2,2
3,95,2,75,3,33,301
5,177,2,54,4,0,89
2,75,2,69,4,34,68
2,14,2,55,5,4,360
2,53,1,100,2,6,150
2,14,1,118,2,6,67
3,210,1,259,1,10,32
5,127,1,61,5,0,290
1,67,1,50,3,8,34
2,61,2,43,6,2,311
3,203,2,80,3,7,334
4,55,2,115,1,7,304
2,215,2,60,1,0,54
5,47,2,75,2,8,90
2,92,1,177,2,23,214
3,120,1,150,3,6,90
2,52,2,160,2,2,364
2,215,1,210,2,27,188
2,29,1,120,2,4,14
2,14,1,200,2,36,124
4,5,1,122,6,0,13
2,52,2,70,4,0,17
3,96,1,172,4,27,42
3,93,1,170,3,2,9
2,29,2,65,1,7,61
4,5,1,169,1,8,297
2,215,2,95,2,32,1
2,75,1,150,2,13,160
3,96,1,225,1,11,1
2,46,1,130,3,6,106
3,65,1,140,5,16,1
4,69,2,80,3,0,364
5,195,1,120,3,15,166
3,95,2,100,1,4,56
2,14,2,40,2,20,3
3,203,2,99,1,0,157
2,14,2,72,1,3,311
2,92,1,250,5,0,43
3,207,2,50,5,24,177
3,95,1,135,2,23,328
2,215,2,90,1,0,179
4,51,3,37,1,6,361
3,65,1,159,6,6,12
4,5,2,39,1,4,136
2,14,2,50,1,14,306
3,202,2,95,3,3,8
2,29,2,44,1,31,172
2,61,1,130,1,9,189
2,14,2,187,2,31,35
2,14,2,50,2,12,10
2,191,2,58,1,0,360
2,29,2,40,2,21,185
4,167,2,50,2,4,293
2,75,2,45,1,19,98
3,203,2,50,2,31,112
3,128,1,180,2,2,4
3,96,2,129,1,18,140
2,215,1,125,6,10,239
3,207,2,80,2,18,326
2,215,2,80,1,31,13
3,207,1,189,3,8,358
2,215,1,210,4,3,4
3,207,2,75,2,1,58
3,96,1,195,3,22,59
4,169,1,139,1,0,166
2,29,2,50,1,6,311
2,75,2,65,2,12,294
3,74,1,231,2,7,347
3,95,2,55,5,31,326
2,215,1,200,5,0,103
1,33,2,39,2,0,177
2,81,2,85,2,35,161
4,218,2,60,3,0,41
3,128,1,275,2,16,167
2,92,1,130,2,34,129
4,106,2,125,1,2,253
4,5,2,50,1,2,341
3,62,2,80,3,15,88
4,118,1,170,3,31,238
3,96,2,179,1,10,175
3,35,2,110,1,10,108
3,138,1,200,3,6,1
3,93,1,200,1,12,206
1,67,2,70,3,0,365
2,61,1,225,3,1,26
2,29,2,65,2,5,4
2,215,2,99,3,19,310
1,135,2,60,1,29,304
1,17,2,35,3,7,357
2,215,2,90,2,27,56
3,96,2,179,1,16,363
4,51,2,80,1,0,365
4,105,2,42,2,20,80
1,137,1,105,1,23,6
2,75,1,130,6,16,38
1,17,1,247,2,15,322
3,74,1,241,2,5,284
2,64,2,50,3,0,23
2,44,1,170,4,8,1
2,92,2,119,1,0,180
2,42,2,165,4,11,365
3,210,1,170,2,9,19
3,95,2,59,1,2,41
3,95,2,60,2,1,83
2,215,2,130,2,12,26
3,96,3,65,1,17,198
4,151,1,79,1,22,130
3,35,2,105,1,1,21
2,29,2,90,2,6,89
4,167,2,60,3,3,264
3,93,2,90,2,4,146
3,96,1,211,3,4,56
2,61,2,50,1,35,365
4,60,1,100,4,15,203
2,75,1,120,5,19,1
3,120,2,100,3,10,361
2,50,1,149,6,0,297
2,152,2,66,3,2,87
2,14,3,39,3,13,359
2,29,2,65,2,15,344
5,3,1,195,3,1,119
2,14,1,250,3,1,133
2,29,2,80,2,1,62
3,122,2,40,3,0,308
1,206,2,33,1,0,116
3,65,1,185,1,17,11
3,120,1,164,1,1,163
2,29,2,65,2,22,348
2,215,2,60,4,17,131
3,62,2,65,4,0,10
3,128,1,200,1,7,358
2,175,1,99,4,0,19
3,35,2,100,1,0,245
3,104,2,99,3,0,180
2,215,1,190,1,13,171
2,215,1,150,4,2,1
2,29,2,85,3,35,127
2,86,2,119,1,9,364
3,116,2,70,5,3,42
1,174,2,90,2,1,35
2,61,1,250,5,0,8
3,202,2,79,1,23,7
2,52,1,185,1,17,48
2,14,1,95,4,4,9
3,35,1,250,6,1,3
2,14,1,167,1,8,80
3,203,2,80,3,1,3
2,52,2,42,2,10,10
2,61,2,69,1,18,175
3,128,1,170,1,3,270
